Label,/sorgin1/users/neildlf/GoLLIE-dev/model/GoLLIE+-8b_Llama3_BS128_R128_finetuning_old/checkpoint-15486,/sorgin1/users/neildlf/GoLLIE-dev/model/GoLLIE+-8b_Llama3_BS128_R128/checkpoint-15486
ace05.eae.events
TransferOwnership,0.9836065573770492,0.967741935483871
StartOrg,0.9714285714285714,0.9714285714285714
MergeOrg,0.0,0.0
Elect,0.9375,0.9375
StartPosition,0.888888888888889,0.9230769230769231
Transport,1.0,1.0
EndPosition,1.0,1.0
Attack,0.9946524064171123,0.9837837837837837
PhoneWrite,0.8571428571428571,0.7692307692307693
Meet,0.9803921568627451,0.970873786407767
TransferMoney,0.962962962962963,0.923076923076923
Demonstrate,0.923076923076923,0.7999999999999999
ArrestJail,1.0,1.0
Die,1.0,1.0
BeBorn,1.0,1.0
ChargeIndict,1.0,1.0
EndOrg,1.0,1.0
Convict,1.0,1.0
SentenceAct,1.0,0.9565217391304348
ReleaseParole,1.0,1.0
Appeal,1.0,1.0
TrialHearing,1.0,1.0
Sue,1.0,1.0
Marry,1.0,1.0
Divorce,1.0,1.0
Injure,1.0,1.0
Fine,1.0,1.0
Acquit,1.0,1.0
Execute,1.0,0.6666666666666666
DeclareBankruptcy,1.0,1.0
Nominate,0.0,1.0
Extradite,1.0,1.0
ace05.ee.events
TransactionEvent,0.5714285714285713,0.5753424657534246
BusinessEvent,0.5652173913043478,0.5217391304347826
PersonnelEvent,0.509433962264151,0.6868686868686869
MovementEvent,0.5599999999999999,0.6736842105263158
ConflictEvent,0.5833333333333334,0.7857142857142857
ContactEvent,0.6853146853146852,0.671641791044776
JusticeEvent,0.8181818181818182,0.8947368421052632
LifeEvent,0.8192771084337349,0.8717948717948718
ace05.ner.entities
GPE,0.8141843971631206,0.9266666666666667
Organization,0.6836301950805768,0.8281604844814534
Person,0.7881733495342244,0.9373029772329248
Location,0.4220183486238532,0.6911764705882353
Vehicle,0.7179487179487181,0.8695652173913043
Facility,0.5568627450980392,0.698961937716263
Weapon,0.5033112582781456,0.8852459016393442
ace05.rc.relations
OrgLocationOrigin,0.9852941176470589,0.9701492537313433
Employment,0.9295039164490863,0.9378238341968912
InvestorShareholder,0.9090909090909091,0.9090909090909091
Subsidiary,0.9552238805970149,0.9302325581395349
Membership,0.647887323943662,0.6486486486486486
Geographical,0.9722222222222223,0.9592760180995475
Located,0.9803921568627451,0.9853658536585367
Near,0.92,0.9387755102040817
CitizenResidentReligionEthnicity,0.975,0.951219512195122
Business,0.8695652173913043,0.8571428571428572
Founder,0.7777777777777778,0.8
LastingPersonal,0.8148148148148148,0.75
UserOwnerInventorManufacturer,1.0,1.0
Family,0.9850746268656716,0.9850746268656716
Ownership,0.7142857142857143,0.9090909090909091
StudentAlum,1.0,1.0
ace05.re.relations
GenAffiliationRelation,0.4418604651162791,0.6111111111111112
OrganizationAffiliationRelation,0.6701940035273368,0.8210116731517509
PartWholeRelation,0.47590361445783136,0.6140845070422535
PhysicalRelation,0.5046153846153846,0.6024096385542169
AgentArtifactRelationRelation,0.43636363636363634,0.6545454545454544
PersonalSocialRelation,0.5245901639344263,0.6949152542372882
ace05.ver.values
Time,0.8333333333333333,0.8774193548387098
Numeric,0.8571428571428572,0.8064516129032259
JobTitle,0.0,0.15384615384615383
Crime,0.7999999999999999,0.6808510638297872
Sentence,0.4210526315789474,0.5714285714285715
bc5cdr.ner.entities
Disease,0.7974889560567309,0.8494356659142213
Chemical,0.8747223027141892,0.928711943793911
conll03.ner.entities
Location,0.907706366128541,0.9417736637802329
Person,0.9729897547345544,0.9731752963194013
