Dataset,/sorgin1/users/neildlf/GoLLIE-dev/model/GoLLIE+-8b_Llama3_BS128_R128/checkpoint-5162/task_scores.json,/sorgin1/users/neildlf/GoLLIE-dev/model/GoLLIE+-8b_Llama3_BS128_R128_finetuning/checkpoint-2581/task_scores.json,/sorgin1/users/neildlf/GoLLIE-dev/model/GoLLIE+-8b_Llama3_BS128_R128_finetuning_masking_15_pretrained/checkpoint-1721/task_scores.json,/sorgin1/users/neildlf/GoLLIE-dev/model/GoLLIE+-8b_Llama3_BS128_R128_finetuning_masking_30_pretrained/checkpoint-1721/task_scores.json,/sorgin1/users/neildlf/GoLLIE-dev/model/GoLLIE+-8b_Llama3_BS128_R128_finetuning_masking_50_pretrained/checkpoint-2581/task_scores.json
crossner.crossner_ai - entities,0.6067558954748248,0.6402284263959391,0.619078947368421,0.6390953150242327,0.6288860103626943
crossner.crossner_literature - entities,0.6321195144724556,0.604274134119381,0.6035856573705178,0.603690036900369,0.6218487394957983
crossner.crossner_music - entities,0.6426229508196721,0.6681803438209536,0.6667763699193681,0.6769280622164615,0.6741426946205104
crossner.crossner_natural_science - entities,0.6016626255628681,0.677888022678951,0.6531645569620252,0.638245179550681,0.6661898802074021
crossner.crossner_politics - entities,0.6464007782101168,0.7341355288157061,0.7042577675489069,0.6728591423845273,0.6956299514439049
fabner.ner - entities,0.28362652232746954,0.26703562781044615,0.26075638151710173,0.2586939856435989,0.27240296803652964
mitmovie.ner - entities,0.6298273155416012,0.6633017875920084,0.6280974157183877,0.6395778364116095,0.650185676392573
mitrestaurant.ner - entities,0.5450094161958569,0.5646168401135289,0.5676351741389263,0.5736701109835438,0.5494806976288458
wikievents.eae - arguments,0.5246671887235708,0.4392971246006389,0.4698512137823022,0.44638602065131056,0.4623911322248614
wikievents.eae - class: ArrestJailDetain,1.0,1.0,1.0,1.0,1.0
wikievents.eae - class: Attack,1.0,0.9959514170040485,0.9959514170040485,0.9959514170040485,1.0
wikievents.eae - class: ChargeIndict,1.0,0.9411764705882353,0.9411764705882353,0.9411764705882353,0.9411764705882353
wikievents.eae - class: Contact,0.854368932038835,0.8785046728971961,0.9380530973451328,0.8316831683168318,0.9369369369369369
wikievents.eae - class: Convict,,0.0,0.0,0.0,0.0
