Label,/sorgin1/users/neildlf/GoLLIE-dev/model/GoLLIE+-8b_Llama3_BS128_R128_finetuning/checkpoint-2581,/sorgin1/users/neildlf/GoLLIE-dev/model/GoLLIE+-8b_Llama3_BS128_R128_finetuning_masking_pretrained/checkpoint-1721
wikievents.eae.events
Die,0.9908256880733944,0.9908256880733944
Attack,0.9959514170040485,0.9959514170040485
Contact,0.8785046728971961,0.9380530973451328
IdentifyCategorize,0.25,0.28571428571428575
Inspection,0.4,0.5454545454545454
Transportation,0.923076923076923,0.8333333333333334
Injure,0.9841269841269841,0.9841269841269841
GenericCrime,1.0,1.0
Sentence,1.0,1.0
DamageDestroy,0.9411764705882353,1.0
ChargeIndict,0.9411764705882353,0.9411764705882353
Convict,0.0,0.0
RequestCommand,0.3333333333333333,0.5
ManufactureAssemble,0.6666666666666666,1.0
Research,0.0,0.0
ArrestJailDetain,1.0,1.0
Dismantle,0.6666666666666666,0.6666666666666666
DisableDefuse,0.6666666666666666,0.6666666666666666
ThreatenCoerce,0.6666666666666666,0.6666666666666666
Intervention,1.0,1.0
TrialHearing,1.0,1.0
ExchangeBuySell,0.962962962962963,0.923076923076923
StartPosition,1.0,1.0
Donation,0.0,0.0
IllegalTransportation,0.0,0.0
InvestigateCrime,1.0,1.0
Crash,1.0,1.0
ImpedeInterfereWith,1.0,1.0
Demonstrate,1.0,1.0
DiseaseOutbreak,0.0,0.0
Evacuation,0.0
wikievents.ee.events
LifeEvent,0.6605504587155963,0.6940639269406392
ConflictEvent,0.42473118279569894,0.4780219780219781
MovementTransportEvent,0.20833333333333334,0.1951219512195122
ContactEvent,0.0761904761904762,0.1487603305785124
CognitiveEvent,0.13793103448275862,0.0
DisasterEvent,0.15384615384615383,0.163265306122449
GenericCrimeEvent,0.0,0.0
JusticeEvent,0.5813953488372093,0.5925925925925924
ArtifactExistanceEvent,0.18181818181818185,0.08
PersonnelEvent,0.0,0.0
MedicalEvent,0.5,0.6666666666666666
TransactionEvent,0.8571428571428571,0.6666666666666666
ControlEvent,0.0,0.0
wikievents.ner.entities
Person,0.5476956055734191,0.5541264737406217
GPE,0.7284595300261096,0.7333333333333333
Organization,0.5359281437125749,0.5359281437125749
Facility,0.5872576177285319,0.4584717607973422
Location,0.3448275862068966,0.3025210084033613
Numeric,0.2684563758389262,0.1990950226244344
JobTitle,0.09756097560975609,0.06451612903225806
Vehicle,0.6086956521739131,0.6099290780141843
Weapon,0.5323741007194245,0.5058365758754864
SideOfConflict,0.0,0.0
BodyPart,0.1818181818181818,0.14285714285714285
Abstract,0.0,0.0
MedicalHealthIssue,0.0,0.0
Information,0.0,0.0
Money,0.5714285714285715,0.5
CommercialProduct,0.0,0.0
fabner.ner.entities
ConceptPrinciples,0.020475319926873858,0.0223342939481268
ManufacturingProcess,0.5393772893772895,0.5238095238095237
EngineeringFeatures,0.2126888217522659,0.24948875255623723
Material,0.3288093769278223,0.33012202954399483
Application,0.15527950310559002,0.16393442622950818
ProcessCharacterization,0.2188449848024316,0.16891891891891891
MechanicalProperties,0.4233870967741935,0.38926174496644295
ProcessParameters,0.21813403416557164,0.17337461300309598
MachineEquipment,0.13138686131386862,0.14758269720101783
ManufacturingStandards,0.09090909090909091,0.2380952380952381
EnablingTechnology,0.21153846153846154,0.17595307917888564
Biomedical,0.18835616438356165,0.17666666666666664
mitmovie.ner.entities
Genre,0.6223495702005731,0.54320987654321
Year,0.6944045911047346,0.6487232574189096
Plot,0.32061068702290074,0.27921092564491656
RatingsAverage,0.24822695035460995,0.17424242424242423
Actor,0.8807669263031754,0.8915808600847971
Review,0.040268456375838924,0.022857142857142857
Tittle,0.6458752515090543,0.6079207920792079
Director,0.8688172043010752,0.8602383531960996
Song,0.6551724137931035,0.5454545454545454
Character,0.49315068493150693,0.5277777777777778
Rating,0.7423494570582428,0.708
Trailer,0.6774193548387096,0.7096774193548386
mitrestaurant.ner.entities
Rating,0.1992619926199262,0.20973782771535582
Location,0.5822416302765648,0.5767844268204758
Amenity,0.47341772151898737,0.40599455040871935
Cuisine,0.6433734939759036,0.6419161676646707
Hours,0.37619047619047613,0.3870967741935484
Price,0.575,0.5925925925925926
Dish,0.6372745490981965,0.6481876332622601
RestaurantName,0.7195902688860435,0.781491002570694
crossner.crossner_ai.entities
Algorithm,0.6510263929618768,0.6395348837209304
Conference,0.6347305389221558,0.6666666666666667
Organization,0.7452229299363057,0.781758957654723
Task,0.6451612903225806,0.5502958579881656
Other,0.021164021164021166,0.010362694300518135
Product,0.5364238410596027,0.5804416403785488
Field,0.5480225988700566,0.43853820598006643
Metric,0.6838709677419356,0.6266666666666666
Researcher,0.8085106382978724,0.8043478260869564
Person,0.7037037037037036,0.7116564417177914
ProgrammingLanguage,0.8461538461538461,0.8688524590163934
Country,0.8444444444444444,0.7865168539325843
Location,0.7710843373493976,0.8059701492537313
University,0.9285714285714286,0.9090909090909091
crossner.crossner_music.entities
Song,0.8490566037735847,0.8316831683168316
Band,0.5432098765432098,0.7322834645669292
Album,0.8848484848484849,0.8821752265861027
MusicGenre,0.7965179542981502,0.7833894500561168
MusicalArtist,0.5632653061224488,0.44993498049414826
Organization,0.5965665236051502,0.6829268292682927
Person,0.33986928104575165,0.24
Other,0.022727272727272728,0.0
Country,0.8092105263157894,0.8403908794788273
MusicalInstrument,0.6829268292682926,0.6153846153846153
Award,0.7829787234042553,0.7685393258426967
Event,0.4258064516129032,0.45454545454545453
Location,0.7228525121555915,0.7147651006711409
crossner.crossner_politics.entities
Country,0.6077032810271041,0.6781456953642383
Politician,0.6834804539722572,0.5971830985915493
Election,0.9002267573696145,0.8846153846153847
Person,0.7476415094339622,0.7075575027382257
Organization,0.7209302325581395,0.6332404828226554
Location,0.7852965747702589,0.781629116117851
Other,0.05054151624548737,0.08450704225352114
PoliticalParty,0.8157894736842105,0.7795414462081128
Event,0.6275659824046921,0.6122448979591836
crossner.crossner_literature.entities
Writer,0.6967741935483871,0.681465038845727
Book,0.7614781634938409,0.7681818181818182
LiteraryGenre,0.2848484848484848,0.3873015873015873
Other,0.11583011583011582,0.06399999999999999
Person,0.5249457700650759,0.5166666666666666
Organization,0.6550218340611353,0.6527196652719665
Poem,0.5142857142857142,0.5297297297297298
Location,0.5421686746987951,0.503225806451613
Event,0.5591397849462364,0.5555555555555556
Award,0.7500000000000001,0.7680608365019013
Country,0.6666666666666666,0.6923076923076923
Magazine,0.7252747252747253,0.5
crossner.crossner_natural_science.entities
Organization,0.8194444444444444,0.7771639042357273
AstronomicalObject,0.8170731707317073,0.7711598746081505
Other,0.05504587155963303,0.05839416058394161
ChemicalCompound,0.6909090909090909,0.6918238993710691
Protein,0.47368421052631576,0.4280701754385965
Enzyme,0.5987261146496815,0.5942857142857143
Person,0.6890459363957596,0.6317512274959082
University,0.793388429752066,0.8253968253968254
Scientist,0.7892813641900123,0.7253886010362695
Award,0.7826086956521738,0.7822878228782287
Event,0.6031746031746031,0.4776119402985074
ChemicalElement,0.73,0.8554216867469879
Location,0.7774294670846396,0.7882736156351793
Country,0.634920634920635,0.65625
AcademicJournal,0.8858695652173912,0.8956043956043955
Discipline,0.5166666666666666,0.46846846846846846
Theory,0.4210526315789474,0.4736842105263158
